ProductName,RetailSPrice,TotalQtySold,UniqueDates,DaysUsed
GATORADE 515 ML BLUE BLAST,250.0,2.0,"[Timestamp('2020-09-11 00:00:00'), Timestamp('2020-09-15 00:00:00')]",5
GATORADE 515 ML BLUE BLAST,261.061946902655,1.0,[Timestamp('2022-05-25 00:00:00')],1
GATORADE 515 ML BLUE BLAST,265.0,43.0,"[Timestamp('2021-07-14 00:00:00'), Timestamp('2021-07-21 00:00:00'), Timestamp('2021-07-26 00:00:00'), Timestamp('2021-07-31 00:00:00'), Timestamp('2021-08-01 00:00:00'), Timestamp('2021-08-02 00:00:00'), Timestamp('2021-08-06 00:00:00'), Timestamp('2021-08-08 00:00:00'), Timestamp('2021-08-10 00:00:00'), Timestamp('2021-08-11 00:00:00'), Timestamp('2021-08-13 00:00:00'), Timestamp('2021-08-16 00:00:00'), Timestamp('2021-09-15 00:00:00'), Timestamp('2021-09-20 00:00:00'), Timestamp('2021-09-24 00:00:00'), Timestamp('2021-09-28 00:00:00'), Timestamp('2021-10-04 00:00:00'), Timestamp('2021-10-06 00:00:00'), Timestamp('2021-10-07 00:00:00'), Timestamp('2021-10-09 00:00:00'), Timestamp('2021-10-18 00:00:00'), Timestamp('2021-10-20 00:00:00'), Timestamp('2021-10-21 00:00:00'), Timestamp('2021-10-28 00:00:00'), Timestamp('2021-10-29 00:00:00'), Timestamp('2021-11-01 00:00:00'), Timestamp('2021-11-02 00:00:00'), Timestamp('2021-11-03 00:00:00'), Timestamp('2021-11-11 00:00:00')]",92
GATORADE 515 ML BLUE BLAST,275.0,53.0,"[Timestamp('2021-09-18 00:00:00'), Timestamp('2021-10-02 00:00:00'), Timestamp('2021-10-03 00:00:00'), Timestamp('2021-10-07 00:00:00'), Timestamp('2021-10-12 00:00:00'), Timestamp('2021-10-14 00:00:00'), Timestamp('2021-11-08 00:00:00'), Timestamp('2022-02-15 00:00:00'), Timestamp('2022-02-17 00:00:00'), Timestamp('2022-02-18 00:00:00'), Timestamp('2022-02-22 00:00:00'), Timestamp('2022-02-24 00:00:00'), Timestamp('2022-03-01 00:00:00'), Timestamp('2022-03-02 00:00:00'), Timestamp('2022-03-05 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-04-02 00:00:00')]",99
GATORADE 515 ML BLUE BLAST,280.0,6.0,"[Timestamp('2022-05-11 00:00:00'), Timestamp('2022-05-17 00:00:00')]",7
GATORADE 515 ML BLUE BLAST,295.0,38.0,"[Timestamp('2022-05-14 00:00:00'), Timestamp('2022-05-18 00:00:00'), Timestamp('2022-05-21 00:00:00'), Timestamp('2022-05-28 00:00:00'), Timestamp('2022-05-29 00:00:00'), Timestamp('2022-06-02 00:00:00'), Timestamp('2022-06-04 00:00:00'), Timestamp('2022-06-06 00:00:00'), Timestamp('2022-06-12 00:00:00'), Timestamp('2022-06-13 00:00:00'), Timestamp('2022-06-16 00:00:00'), Timestamp('2022-06-18 00:00:00'), Timestamp('2022-06-22 00:00:00'), Timestamp('2022-06-24 00:00:00'), Timestamp('2022-06-25 00:00:00'), Timestamp('2022-06-27 00:00:00'), Timestamp('2022-07-01 00:00:00')]",49
JELLY 118GM X 6 CUPS MIX,287.610619469027,2.0,"[Timestamp('2022-02-04 00:00:00'), Timestamp('2022-02-23 00:00:00')]",20
JELLY 118GM X 6 CUPS MIX,295.0,1.0,[Timestamp('2021-06-29 00:00:00')],1
JELLY 118GM X 6 CUPS MIX,305.0,5.0,"[Timestamp('2020-07-25 00:00:00'), Timestamp('2020-09-11 00:00:00'), Timestamp('2020-09-14 00:00:00')]",5
JELLY 118GM X 6 CUPS MIX,312.0,10.0,"[Timestamp('2020-10-14 00:00:00'), Timestamp('2020-10-15 00:00:00'), Timestamp('2020-10-16 00:00:00'), Timestamp('2020-10-18 00:00:00'), Timestamp('2020-10-22 00:00:00'), Timestamp('2020-11-08 00:00:00'), Timestamp('2020-11-11 00:00:00'), Timestamp('2021-03-21 00:00:00'), Timestamp('2021-03-22 00:00:00')]",31
